,artist_name,spotify_name,spotify_id,spotify_similarity,spotify_popularity,spotify_followers,spotify_listeners,spotify_genre_1,spotify_genre_2,spotify_genre_3,spotify_genre_4,spotify_genre_5,spotify_genre_6,spotify_genre_7,spotify_genre_8,spotify_genre_9,spotify_genre_10,spotify_genre_11,spotify_genre_12,spotify_genre_13,spotify_genre_14,spotify_genre_15,spotify_genre_16,spotify_genre_17,spotify_genre_18
/artists/3898176-world-is-a-beautiful-place-and-i-am-no-longer-afraid-to-die,The World Is a Beautiful Place & I Am No Longer Afraid to Die,The World Is A Beautiful Place & I Am No Longer Afraid To Die,5bCNJ1ICzdnzK0yoCIP2Ip,1.0,49.0,102764.0,193100.0,alternative emo,bubblegrunge,dreamo,emo,indie punk,indie rock,midwest emo,new england emo,small room,,,,,,,,,
/artists/8669114-world-over,The World Over,The World Over,2OT3Y0XbbGL7PKt6x7LXIc,1.0,21.0,6053.0,9400.0,,,,,,,,,,,,,,,,,,
/artists/9525664-world-of-hans-zimmer,The World of Hans Zimmer,,,,,,,,,,,,,,,,,,,,,,,,
/artists/8361528-wow-trio,The Wow Trio,,,,,,,,,,,,,,,,,,,,,,,,
/artists/581057-xcerts,The Xcerts,The XCERTS,7sKlSlGo7d1D3dhFYKO0Y5,1.0,35.0,21054.0,71500.0,aberdeen indie,british alternative rock,scottish indie,scottish rock,,,,,,,,,,,,,,
/artists/4535913-yawpers,The Yawpers,The Yawpers,6MYRV74tUjBf9X4PwTRykW,1.0,27.0,8154.0,23800.0,,,,,,,,,,,,,,,,,,
/artists/9630954-yelins,The Yelins,The Yelins,28HtkqWjBzNpk4JI26AMQe,1.0,1.0,168.0,56.0,,,,,,,,,,,,,,,,,,
/artists/717784-yolks,The Yolks,The Yolks,1r6tliAMEA2P22N8c9Vg9P,1.0,3.0,556.0,318.0,,,,,,,,,,,,,,,,,,
/artists/192953-young,The Young,The Young,3drjkOGiUSE8zExApAMdEb,1.0,3.0,1058.0,318.0,,,,,,,,,,,,,,,,,,
/artists/410952-young-gods,The Young Gods,The Young Gods,1xF9B1eiCKUejBnEE9k3sY,1.0,28.0,21925.0,14800.0,ebm,industrial,industrial rock,swiss alternative rock,swiss rock,,,,,,,,,,,,,
/artists/381049-zen-circus,The Zen Circus,The Zen Circus,7nrxF1ilcwJNHofGUfsC84,1.0,48.0,113121.0,139900.0,indie rock italiano,italian alternative,italian indie pop,,,,,,,,,,,,,,,
/artists/2708701-zolas,The Zolas,The Zolas,0BVWMc7JEHdh2Ku6xgKuYL,1.0,42.0,34178.0,121800.0,canadian indie,vancouver indie,,,,,,,,,,,,,,,,
/artists/136651-zookeepers,The Zookeepers,The Zookeepers,5iMZX36lE85koQd4wqprLA,1.0,0.0,12.0,6.0,,,,,,,,,,,,,,,,,,
/artists/187327-zutons,The Zutons,The Zutons,2qV7axHq9Jk7QqFcB3f05A,1.0,47.0,113865.0,342800.0,english indie rock,modern rock,,,,,,,,,,,,,,,,
/artists/1066259-deepend,The deepEnd,THE DEEP END,7ubCmjPnxVpX4jG5Daedts,0.96,24.0,1519.0,11300.0,,,,,,,,,,,,,,,,,,
/artists/9409534-factory-smokers-street-revue,The factory smokers street revue,The Factory Smokers street revue,4TOZPNgzLq4JZt0nCUMVw7,1.0,3.0,169.0,140.0,deep swedish rock,,,,,,,,,,,,,,,,,
/artists/1119912-swing-thing,The swing thing,The Swing of Things,0UJqdHZfRbleexMyFaIE6V,0.88,0.0,9.0,1.0,,,,,,,,,,,,,,,,,,
/artists/515434-xx,The xx,The xx,3iOvXCl6edW5Um0fXEBRXy,1.0,70.0,3768954.0,4500000.0,downtempo,dream pop,indietronica,,,,,,,,,,,,,,,
/artists/7407434-thedas,The/Das,The/Das,0UY2k35TWEQz5WzkDFsh5D,1.0,26.0,8018.0,16100.0,german electronica,,,,,,,,,,,,,,,,,
/artists/9708074-the80er,The80er,The808er,3IC62JEqslCeimzkH9MPx6,0.93,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,
/artists/9682864-thebluestrio,TheBluesTrio,,,,,,,,,,,,,,,,,,,,,,,,
/artists/7881514-thedmfe,TheDMFE,themes,7DLvUg0aKwnnUVY8m233DI,0.77,27.0,96.0,26100.0,,,,,,,,,,,,,,,,,,
/artists/8885334-thenewguard,TheNewGuard,,,,,,,,,,,,,,,,,,,,,,,,
/artists/6357244-thepsychonauts,ThePsychonauts,,,,,,,,,,,,,,,,,,,,,,,,
