,venue,locality,postal_code,street,country,latitude,longitude,venue_website
/venues/4368884,Florhof,Zürich,8001 Zürich,Florhofgasse 6,Switzerland,47.37259,8.54854,
/venues/3922339,Musikzentrum Kammermusiksaal I,Zürich,8001,Florhofgasse 6,Switzerland,47.37257,8.54844,
/venues/465906,"Q Zurich, Club",Zürich,8005,Förrlibuckstrasse 151,Switzerland,47.39182,8.510539999999999,http://www.q-zurich.ch
/venues/4008944,Q Zürich,Zürich,8005,Förrlibuckstrasse 151,Switzerland,47.39195,8.510860000000001,
/venues/1496778,Queens Club,Zürich,8005,Förrlibuckstrasse 151,Switzerland,47.39188,8.511289999999999,
/venues/4207464,Ug Safe,Basel,4001,Gerbergasse 30,Switzerland,47.55663,7.588210000000001,
/venues/2283049,Unternehmen Mitte,Basel,4001,Gerbergasse 30,Switzerland,47.55658,7.588369999999999,
/venues/3325419,Gessnerallee Zürich Halle,Zürich,8001,Gessnerallee 8,Switzerland,47.37477,8.53468,
/venues/34157,Stall 6,Zürich,8001,Gessnerallee 8,Switzerland,47.374759999999995,8.53471,http://www.stall6.ch/
/venues/3324619,Römisches Theater Augusta Raurica,Basel,4302,Giebenacherstrasse 17,Switzerland,47.533970000000004,7.72135,
/venues/4408551,THEATER AUGUSTA RAURICA,Basel,4302,Giebenacherstrasse 17,Switzerland,47.534040000000005,7.72155,https://www.theater-augusta-raurica.ch/
/venues/684776,Jazzkantine,Luzern,6004,Grabenstrasse 8,Switzerland,47.05327,8.30579,http://www.jazzkantine.com/
/venues/3791174,Kunsteisbahn Grabengut,Bern,3600,Grabenstrasse 8,Switzerland,46.76147,7.62672,http://www.eislauf-club-thun.ch
/venues/4408420,Cour de la Société de Lecture,Geneva,,Grand-Rue 11,Switzerland,46.20237,6.14509,
/venues/1918679,Estarock Café,Estavayer-Le-Lac,1470,Grand-Rue 11,Switzerland,46.84908,6.847689999999999,http://www.estarock.ch
/venues/3303324,Loppersaal,Luzern,6052,Grossmatt 5,Switzerland,46.990559999999995,8.31087,
/venues/3370459,Loppersaal / Grossmatt Hergiswil,Luzern,6052,Grossmatt 5,Switzerland,46.990390000000005,8.310939999999999,
/venues/123641,Gurten,Bern,3000,Gurten,Switzerland,46.91726,7.443789999999999,
/venues/923131,Gurtenfestival,Bern,3000,Gurten,Switzerland,46.9173,7.44348,
/venues/981891,Casineum,Luzern,6000,Haldenstrasse 6,Switzerland,47.055040000000005,8.316460000000001,
/venues/953141,Casineum Grand Casino,Luzern,6006,Haldenstrasse 6,Switzerland,47.055040000000005,8.31707,
/venues/391996,Härterei,Zürich,8005,Hardstrasse 219,Switzerland,47.38572,8.51685,http://www.haertereiclub.ch
/venues/3764314,Härterei Club,Zürich,8005,Hardstrasse 219,Switzerland,47.386759999999995,8.51667,
/venues/4366789,Apples & Olives,Zürich,8005,Hardstrasse 245,Switzerland,47.388290000000005,8.51934,http://www.applesandolivesfestival.com/
