,artist_name,spotify_name,spotify_id,spotify_popularity,spotify_followers,spotify_listeners
/artists/1151756-shotgun-jimmie,Shotgun Jimmie,Shotgun Jimmie,5feiuL9YrwTUV6KYUjkGWx,10.0,1646.0,837.0
/artists/708959-shotgun-party,Shotgun Party,Shotgun Party,6pXGqzftOKXeWKWgRRLkUF,2.0,237.0,117.0
/artists/1057540-shotgun-revolution,Shotgun Revolution,Shotgun Revolution,0WzbAvXUcDILmWW3G7mZSy,28.0,3640.0,29500.0
/artists/212387-shots,Shots,Shots,6GrRVsyMtY3ybieLwg8kxs,24.0,13.0,29500.0
/artists/8055713-shouldb3banned,ShouldB3Banned,ShouldB3Banned,2zLDPvEjY1fLjl56UDaLYt,5.0,820.0,683.0
/artists/381506-shout,Shout,Shout,5fAN5XpCyDCHH73ObKJoqf,23.0,2269.0,12900.0
/artists/108446-shout-out-louds,Shout Out Louds,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,38.0,52866.0,110600.0
/artists/5022538-show-me-the-body,Show Me The Body,Show Me the Body,5jh7sgXW2njALiIh0aPXjB,46.0,59870.0,208200.0
/artists/120463-showaddywaddy,Showaddywaddy,Showaddywaddy,3zIIUxcnIoUMouVQdphkeC,44.0,60230.0,240500.0
/artists/7762289-showband-adest-musica,Showband Adest Musica,,,,,
/artists/7296429-showband-corio-heerlen,Showband Corio Heerlen,,,,,
/artists/8010598-showtec,Showtec,Showtek,3gk0OYeLFWYupGFRHqLSR7,66.0,444779.0,4600000.0
/artists/600188-showtek,Showtek,Showtek,3gk0OYeLFWYupGFRHqLSR7,66.0,444779.0,4600000.0
/artists/3805451-shred-kelly,Shred Kelly,Shred Kelly,0TLkxB9Td2RXnmDEupHPQx,25.0,5296.0,15400.0
/artists/10092429-shreeguru-balaji-tambe,Shreeguru Balaji També,,,,,
/artists/10020054-shrezzers,Shrezzers,Shrezzers,0cESlyDxeKCUzc3gm1owur,40.0,23236.0,73200.0
/artists/277252-shrine,Shrine,Shrine,4Ex9ZnWZPNo2ECTenhpoEG,12.0,1289.0,2000.0
/artists/2522871-shrinebuilder,Shrinebuilder,Shrinebuilder,2CX2xTD2hAbSLWOEEUhxTh,12.0,10467.0,2400.0
/artists/9899489-shrines-of-dying-light,Shrines of Dying Light,Shrines of Dying Light,4bELrliSGI3D4HrllMK5Od,1.0,126.0,51.0
/artists/10142174-shrinx,Shrinx,Shrinx,1E8D6D5HKoqKCbpLCknaVM,9.0,109.0,284.0
/artists/9184399-shrivel,Shrivel,Shrivel Up,5f83ZisQVDf05w4C3vhI4f,0.0,20.0,5.0
/artists/1554542-shuga,Shuga,Shuga,083SQcXmnT1ET9zBHBhyOx,13.0,1290.0,1900.0
/artists/475182-shurikn,Shurik'n,Shurik'n,1ZjPqYngrwDa5ZqwAPcj5o,49.0,104770.0,238800.0
/artists/8538754-shut-up-twist-again,Shut up! Twist again!,Shut Up! Twist Again!,3Dwd5MnjGMvoltqLo0facQ,6.0,408.0,272.0
/artists/945894-shuttle,Shuttle,Shuttle,5QtW5ZhAsPzCUqZYldTWCh,24.0,2635.0,15700.0
/artists/9588589-shuttle-ch,Shuttle ,Shuttle,5QtW5ZhAsPzCUqZYldTWCh,24.0,2635.0,15700.0
/artists/207061-shy-child,Shy Child,Shy Child,6w9ED7WnjSscMaY2RCVOHh,19.0,6088.0,10300.0
/artists/123523-shy-fx,Shy FX,SHY FX,5oDtp2FC8VqBjTx1aT4P5j,60.0,134725.0,1600000.0
/artists/547123-shym,Shy'm,Shy'm,3nXQmlliJxvfXOm3naZf3B,49.0,301959.0,322900.0
/artists/4423418-shy-low,"Shy, Low","Shy, Low",1ntGppzJ3zwBDXx003EydC,16.0,2199.0,3800.0
/artists/9077709-shye-ben-tzur,Shye Ben Tzur,Shye Ben Tzur,2UCzkuXiE37VD7K123J4Tf,34.0,15094.0,60600.0
/artists/9189434-shyun,Shyun,Shyun,0HgiioHDqBBIvpEVNvhVH0,15.0,1887.0,5400.0
/artists/2170780-shir-khan,Shïr Khan,Shir Khan,22Rbpv7Uc8pB1s9gJBJI4T,1.0,896.0,166200.0
/artists/759240-si-cranstoun,Si Cranstoun,Si Cranstoun,7csp7TiZwQF5Yn9Mt2Us2w,32.0,9437.0,27600.0
/artists/9435514-sili,SiLi,SiLi,1j3MOtYUGk3GLohiqQUHRG,25.0,1116.0,19300.0
/artists/18489-siamese,Siamese,Siamese,0Hx4gv3eoiodtu6XYHF1X0,46.0,26335.0,219400.0
/artists/8858124-siamese-dk,Siamese ,Siamese,0Hx4gv3eoiodtu6XYHF1X0,46.0,26335.0,219400.0
/artists/1165503-sian-alice-group,Sian Alice Group,Sian Alice Group,7mUDjhp1uyMRla6gcgqE2U,1.0,322.0,81.0
/artists/9440229-siavash-amini,Siavash Amini,Siavash Amini,7Ef6YFLZjlHkCcpC8fFSZo,17.0,2430.0,4700.0
/artists/8653894-siberian-meat-grinder,Siberian Meat Grinder,Siberian Meat Grinder,3JWnTlE9m0CFG7FSkgznAj,29.0,16013.0,15200.0
/artists/836938-sibling,Sibling,Sibling,69dEN5hVySEEREBRyyy3EU,11.0,191.0,1800.0
/artists/1019656-sibling-sense,Sibling Sense,,,,,
/artists/10159522-sibu-manai,Sibu Manaï,Sibu Manaï,1TdIV4gSwfVNsd4EMn7R99,10.0,656.0,1200.0
/artists/10084395-sibuna,Sibuna,Sibuna,2ikfjDa1pVQTMVENA9ZObF,25.0,447.0,553.0
/artists/10094483-sibylla-rubens,Sibylla Rubens,Sibylla Rubens,7DimmxPVE900gITx8gLiu8,28.0,270.0,15900.0
/artists/581519-sic-alps,Sic Alps,Sic Alps,3R2PskrehkwlPyDmz8OGq1,13.0,7555.0,1900.0
/artists/499415-sick-condition,Sick Condition,,,,,
/artists/5097803-sick-hyenas,Sick Hyenas,Sick Hyenas,6EQ9gKViaMuZkwmiMBJBBg,1.0,404.0,213.0
/artists/5042003-sick-individuals,Sick Individuals,Sick Individuals,0XqFDQJjqW5PfhfBCb53LR,58.0,168704.0,1700000.0
/artists/8519768-sick-of-stupidity,Sick Of Stupidity,Sick Of Stupidity,76OmKYwNaAP7RRIwq54XLQ,0.0,227.0,33.0
/artists/359193-sick-puppies,Sick Puppies,Sick Puppies,7qAcXJgt1PWnxwUgxMdyuk,59.0,732836.0,1800000.0
/artists/4992729-sick-spud,Sick Spud,Sick Sid,4WVkbWealx1CAHzVPKOdhM,1.0,3.0,138.0
/artists/2478501-sick-tamburo,Sick Tamburo,Sick Tamburo,4mOnUjGAvB6c6wXDUf5CPp,34.0,21925.0,38200.0
/artists/2384512-sick-tired,Sick Tired,Sick N Tired,78nTxh8GACmaILNaCdBW3k,0.0,46.0,9.0
/artists/368873-sick-of-it-all,Sick of It All,Sick Of It All,1Px6nQCyIRM4Gj0tyvZ1TU,42.0,131064.0,108700.0
/artists/8628659-sickstrophe,SickStrophe,SickStrophe,3wetVwA2RaycxsTIIJ2rv5,23.0,3690.0,17900.0
/artists/175971-sicker-man,Sicker Man,Sicker Man,5RUivj5by9JLxkUirJ0qeH,15.0,373.0,1400.0
/artists/160430-sicknature,Sicknature,Sicknature,75I0Ju8oeSEKzG3IitS483,35.0,7973.0,6200.0
/artists/5737604-sickret,Sickret,Sickret,4zI5PvVqjRXMGgJoiMUh9V,14.0,1592.0,2500.0
/artists/544626-sid-le-rock,Sid Le Rock,Sid Le Rock,3oBdslS0EdWkL0YjOXYfl3,15.0,1918.0,4200.0
/artists/10045564-side-c,Side C,Side Car,5mb7MIklYvmGaSD3zfMUmg,0.0,17.0,4.0
/artists/89046-sidekick,SideKicK,Sidekick,6q9gCO6m4qEl9UiPAjSFiq,34.0,3891.0,64099.0
/artists/429690-sideburn,Sideburn,Sideburn,31OCtoWkxIdIUzOuFzaF0t,10.0,621.0,941.0
/artists/6170529-sideform,Sideform,Sideform,5drmvOuIhXNaKGYiUF1nA1,26.0,12657.0,22900.0
