,style_name,genre_url,genre_name
/style/roots-reggae,Roots Reggae,/genre/reggae,Reggae
/style/rumba,Rumba,/genre/latin,Latin
/style/rumba-catalana,Rumba Catalana,/genre/latin,Latin
/style/rune-singing,Rune Singing,/genre/folk-world-country,"Folk, World, & Country"
/style/salsa,Salsa,/genre/latin,Latin
/style/samba,Samba,/genre/latin,Latin
/style/samba-cancao,Samba-canção,,
/style/schlager,Schlager,/genre/pop,Pop
/style/schranz,Schranz,/genre/electronic,Electronic
/style/score,Score,/genre/stage-screen,Stage & Screen
/style/6121-scouse-house,Scouse House,,
/style/screw,Screw,/genre/hip-hop,Hip Hop
/style/sea-shanties,Sea Shanties,,
/style/sephardic,Sephardic,/genre/folk-world-country,"Folk, World, & Country"
/style/seresta,Seresta,,
/style/serial,Serial,/genre/classical,Classical
/style/sermon,Sermon,/genre/non-music,Non-Music
/style/shoegaze,Shoegaze,/genre/rock,Rock
/style/ska,Ska,/genre/reggae,Reggae
/style/skiffle,Skiffle,/genre/rock,Rock
/style/skweee,Skweee,/genre/electronic,Electronic
/style/3374-slovenian-polka,Slovenian Polka,,
/style/sludge-metal,Sludge Metal,/genre/rock,Rock
/style/smooth-jazz,Smooth Jazz,/genre/jazz,Jazz
/style/soca,Soca,/genre/reggae,Reggae
/style/4438-soft-ballad,Soft Ballad,,
/style/soft-rock,Soft Rock,/genre/rock,Rock
/style/son,Son,/genre/latin,Latin
