,venue_id,concert_id,artist_id,date,latitude,longitude
22148,/venues/48460,/concerts/25644704,/artists/437638-michel-polnareff,2016-05-28,46.23333,6.11266
22149,/venues/48460,/concerts/25627764,/artists/437638-michel-polnareff,2016-05-28,46.23333,6.11266
63045,/venues/3389884,/concerts/28992084,/artists/437749-charlie-musselwhite,2017-03-21,46.96103,7.43941
63046,/venues/3389884,/concerts/28992079,/artists/437749-charlie-musselwhite,2017-03-21,46.96103,7.43941
63043,/venues/3389884,/concerts/28992104,/artists/437749-charlie-musselwhite,2017-03-22,46.96103,7.43941
63044,/venues/3389884,/concerts/28992099,/artists/437749-charlie-musselwhite,2017-03-22,46.96103,7.43941
63041,/venues/3389884,/concerts/28992124,/artists/437749-charlie-musselwhite,2017-03-23,46.96103,7.43941
63042,/venues/3389884,/concerts/28992119,/artists/437749-charlie-musselwhite,2017-03-23,46.96103,7.43941
63039,/venues/3389884,/concerts/28992134,/artists/437749-charlie-musselwhite,2017-03-24,46.96103,7.43941
63040,/venues/3389884,/concerts/28992129,/artists/437749-charlie-musselwhite,2017-03-24,46.96103,7.43941
63037,/venues/3389884,/concerts/28992144,/artists/437749-charlie-musselwhite,2017-03-25,46.96103,7.43941
63038,/venues/3389884,/concerts/28992139,/artists/437749-charlie-musselwhite,2017-03-25,46.96103,7.43941
75100,/venues/2907453,/concerts/24238114,/artists/4392693-2cellos,2015-09-04,47.31745,7.89842
75108,/venues/2907453,/concerts/23170408,/artists/4392693-2cellos,2015-09-04,47.31745,7.89842
1818,/venues/29644,/concerts/25126019,/artists/4394073-frank-turner-and-the-sleeping-souls,2016-01-19,47.37546,8.52722
1820,/venues/29644,/concerts/24958774,/artists/4394073-frank-turner-and-the-sleeping-souls,2016-01-19,47.37546,8.52722
52885,/venues/834556,/concerts/25629244,/artists/4407053-andreas-bourani,2016-02-08,47.38572,8.51685
52886,/venues/834556,/concerts/24817529,/artists/4407053-andreas-bourani,2016-02-08,47.38572,8.51685
52887,/venues/834556,/concerts/24815449,/artists/4407053-andreas-bourani,2016-02-08,47.38572,8.51685
303,/venues/29550,/concerts/26222334,/artists/4407053-andreas-bourani,2016-06-01,47.41161,8.55166
304,/venues/29550,/concerts/26204814,/artists/4407053-andreas-bourani,2016-06-01,47.41161,8.55166
11624,/venues/31724,/concerts/24271024,/artists/442457-stiller-has,2015-08-06,47.37106,8.53572
11625,/venues/31724,/concerts/24269954,/artists/442457-stiller-has,2015-08-06,47.37106,8.53572
11622,/venues/31724,/concerts/24271019,/artists/442457-stiller-has,2015-08-20,47.37106,8.53572
11623,/venues/31724,/concerts/24260994,/artists/442457-stiller-has,2015-08-20,47.37106,8.53572
34679,/venues/2998139,/festivals/1651139,/artists/4431098-radar-men-from-the-moon,2016-09-02,47.06626,8.298110000000001
34685,/venues/2998139,/concerts/27830334,/artists/4431098-radar-men-from-the-moon,2016-09-02,47.06626,8.298110000000001
14827,/venues/1129971,/festivals/537869,/artists/443638-soja,2012-11-03,47.38732,8.49986
14828,/venues/1129971,/concerts/14298769,/artists/443638-soja,2012-11-03,47.38732,8.49986
46897,/venues/64260,/festivals/222306,/artists/444349-jack-savoretti,2011-07-16,46.43931,6.9047100000000015
46899,/venues/64260,/concerts/8878346,/artists/444349-jack-savoretti,2011-07-16,46.43931,6.9047100000000015
16542,/venues/184783,/concerts/25628754,/artists/445134-xandria,2016-02-06,47.20063,7.5283
16544,/venues/184783,/concerts/23931219,/artists/445134-xandria,2016-02-06,47.20063,7.5283
48862,/venues/3236954,/concerts/29318224,/artists/447949-gotthard,2017-03-04,47.39574,8.59802
48865,/venues/3236954,/concerts/27189259,/artists/447949-gotthard,2017-03-04,47.39574,8.59802
14636,/venues/1129971,/concerts/19718244,/artists/4479993-scream-your-name,2014-05-01,47.38732,8.49986
97507,/venues/1129971,/festivals/899724,/artists/4479993-scream-your-name,2014-05-01,47.38732,8.49986
78663,/venues/1789518,/festivals/355403,/artists/448558-kevin-saunderson,2013-03-08,46.30539,7.462560000000001
78681,/venues/1789518,/concerts/15794159,/artists/448558-kevin-saunderson,2013-03-08,46.30539,7.462560000000001
9010,/venues/33267,/concerts/25643034,/artists/4495563-vintage-caravan,2016-02-25,47.39869,8.0637
9011,/venues/33267,/concerts/25629959,/artists/4495563-vintage-caravan,2016-02-25,47.39869,8.0637
32552,/venues/33304,/concerts/33902134,/artists/450693-sir-simon-rattle,2018-09-09,47.05032,8.31183
32554,/venues/33304,/concerts/33902119,/artists/450693-sir-simon-rattle,2018-09-09,47.05032,8.31183
38450,/venues/2755408,/concerts/28996884,/artists/4507068-leyla-mccalla,2017-04-02,46.95022,7.442989999999999
38451,/venues/2755408,/concerts/28992584,/artists/4507068-leyla-mccalla,2017-04-02,46.95022,7.442989999999999
18944,/venues/514666,/concerts/25444749,/artists/451580-orden-ogan,2016-03-30,47.52729,7.69406
18947,/venues/514666,/concerts/25189404,/artists/451580-orden-ogan,2016-03-30,47.52729,7.69406
28099,/venues/3389884,/concerts/34115504,/artists/452658-lynne-arriale-trio,2018-09-25,46.96103,7.43941
62913,/venues/3389884,/concerts/34980049,/artists/452658-lynne-arriale-trio,2018-09-25,46.96103,7.43941
28097,/venues/3389884,/concerts/34115519,/artists/452658-lynne-arriale-trio,2018-09-26,46.96103,7.43941
62912,/venues/3389884,/concerts/34980064,/artists/452658-lynne-arriale-trio,2018-09-26,46.96103,7.43941
28095,/venues/3389884,/concerts/34115529,/artists/452658-lynne-arriale-trio,2018-09-27,46.96103,7.43941
62911,/venues/3389884,/concerts/34980079,/artists/452658-lynne-arriale-trio,2018-09-27,46.96103,7.43941
28093,/venues/3389884,/concerts/34115539,/artists/452658-lynne-arriale-trio,2018-09-28,46.96103,7.43941
62910,/venues/3389884,/concerts/34980104,/artists/452658-lynne-arriale-trio,2018-09-28,46.96103,7.43941
28091,/venues/3389884,/concerts/34115544,/artists/452658-lynne-arriale-trio,2018-09-29,46.96103,7.43941
62909,/venues/3389884,/concerts/34980119,/artists/452658-lynne-arriale-trio,2018-09-29,46.96103,7.43941
76469,/venues/1649043,/concerts/25452799,/artists/4535733-marc-storace,2016-04-15,47.24784,8.60533
76470,/venues/1649043,/concerts/25452789,/artists/4535733-marc-storace,2016-04-15,47.24784,8.60533
79402,/venues/3167434,/concerts/25581989,/artists/4535733-marc-storace,2016-06-01,47.56388,7.6028600000000015
79404,/venues/3167434,/concerts/25581984,/artists/4535733-marc-storace,2016-06-01,47.56388,7.6028600000000015
89214,/venues/3123674,/concerts/25140394,/artists/4535733-marc-storace,2016-06-16,47.4196,9.35586
89216,/venues/3123674,/concerts/25140374,/artists/4535733-marc-storace,2016-06-16,47.4196,9.35586
84999,/venues/3148619,/concerts/25400284,/artists/4535733-marc-storace,2016-09-30,47.20966,7.504860000000001
85001,/venues/3148619,/concerts/25400274,/artists/4535733-marc-storace,2016-09-30,47.20966,7.504860000000001
70808,/venues/1579063,/concerts/25140404,/artists/4535733-marc-storace,2016-11-11,47.04516,8.319939999999999
70810,/venues/1579063,/concerts/25140379,/artists/4535733-marc-storace,2016-11-11,47.04516,8.319939999999999
76464,/venues/1649043,/concerts/25400269,/artists/4535733-marc-storace,2016-11-18,47.24784,8.60533
76466,/venues/1649043,/concerts/25400264,/artists/4535733-marc-storace,2016-11-18,47.24784,8.60533
70804,/venues/1579063,/concerts/25140409,/artists/4535733-marc-storace,2016-11-25,47.04516,8.319939999999999
70806,/venues/1579063,/concerts/25140389,/artists/4535733-marc-storace,2016-11-25,47.04516,8.319939999999999
76035,/venues/1579043,/concerts/25140399,/artists/4535733-marc-storace,2016-12-14,46.68648,7.856910000000001
76036,/venues/1579043,/concerts/25140384,/artists/4535733-marc-storace,2016-12-14,46.68648,7.856910000000001
76031,/venues/1579043,/concerts/26393794,/artists/4535733-marc-storace,2016-12-21,46.68648,7.856910000000001
76033,/venues/1579043,/concerts/26393789,/artists/4535733-marc-storace,2016-12-21,46.68648,7.856910000000001
83389,/venues/3275969,/concerts/27103604,/artists/4535733-marc-storace,2017-01-11,47.15583,8.53149
83391,/venues/3275969,/concerts/27103599,/artists/4535733-marc-storace,2017-01-11,47.15583,8.53149
60658,/venues/895931,/festivals/80371,/artists/453601-tori-amos,2010-07-14,47.37561,8.57674
60688,/venues/895931,/festivals/69521,/artists/453601-tori-amos,2010-07-14,47.37561,8.57674
399,/venues/29550,/concerts/22444448,/artists/455384-roland-kaiser,2015-05-31,47.41161,8.55166
404,/venues/29550,/concerts/22046328,/artists/455384-roland-kaiser,2015-05-31,47.41161,8.55166
62907,/venues/3389884,/concerts/34980034,/artists/4567573-joe-locke-trio,2018-10-23,46.96103,7.43941
62908,/venues/3389884,/concerts/34980029,/artists/4567573-joe-locke-trio,2018-10-23,46.96103,7.43941
62905,/venues/3389884,/concerts/34980044,/artists/4567573-joe-locke-trio,2018-10-24,46.96103,7.43941
62906,/venues/3389884,/concerts/34980039,/artists/4567573-joe-locke-trio,2018-10-24,46.96103,7.43941
62903,/venues/3389884,/concerts/34980059,/artists/4567573-joe-locke-trio,2018-10-25,46.96103,7.43941
62904,/venues/3389884,/concerts/34980054,/artists/4567573-joe-locke-trio,2018-10-25,46.96103,7.43941
62901,/venues/3389884,/concerts/34980074,/artists/4567573-joe-locke-trio,2018-10-26,46.96103,7.43941
62902,/venues/3389884,/concerts/34980069,/artists/4567573-joe-locke-trio,2018-10-26,46.96103,7.43941
