spotify_genre,occurrences
deep liquid bass,7
deep melodic death metal,10
deep melodic hard rock,6
deep melodic metalcore,6
deep metalcore,3
deep minimal techno,33
deep motown,1
deep new americana,54
deep pop edm,1
deep pop emo,1
deep power-pop punk,3
deep progressive rock,9
deep psychobilly,7
deep ragga,1
deep regional mexican,1
deep soft rock,1
deep soul house,11
deep soundtrack,1
deep space rock,2
deep surf music,2
deep swedish rock,3
deep talent show,1
deep tech house,10
deep techno,13
deep tropical house,18
deep turkish pop,1
deep underground hip hop,7
deep uplifting trance,5
delaware indie,1
dembow,2
demoscene,1
denton tx indie,10
denver indie,2
denver metal,6
depressive black metal,7
derby indie,4
derry indie,3
desert blues,16
desi hip hop,3
desi pop,4
desi trap,1
destroy techno,22
detroit hip hop,13
detroit house,12
detroit indie,4
detroit rock,11
detroit techno,19
detroit trap,1
deutschrock,47
devon indie,7
dfw rap,1
didgeridoo,4
digital hardcore,10
dinner jazz,1
dirty south rap,9
dirty texas rap,3
disco,22
disco house,26
disco polo,3
discofox,26
disney,2
disney espanol,1
dissonant death metal,12
diva house,7
dixieland,2
diy emo,8
diy pop punk,8
djent,63
dmv rap,5
dominican indie,1
dominican pop,7
doom metal,76
doomcore,1
doomgaze,9
dortmund indie,6
double drumming,22
doujin,1
downtempo,52
downtempo bass,3
downtempo deathcore,2
downtempo fusion,1
dream pop,88
dream smp,3
dream trance,6
dreamgaze,7
dreamo,63
dresden indie,13
drift,6
drill,6
drill and bass,35
drill francais,5
drone,55
drone ambient,2
drone folk,13
drone metal,55
drone rock,5
dronescape,2
drum and bass,77
drumfunk,18
dub,37
dub metal,16
dub punk,4
dub reggae,4
dub techno,34
dublin indie,2
dubstep,30
duduk,1
duluth indie,2
dundee indie,1
dunedin indie,5
dungeon synth,2
dusseldorf electronic,10
dusseldorf indie,7
dutch americana,4
dutch black metal,4
dutch blues,8
dutch cabaret,1
dutch classical piano,1
dutch death metal,13
dutch dnb,10
dutch edm,20
dutch experimental,1
dutch experimental electronic,6
dutch hip hop,10
dutch house,17
dutch idol pop,1
dutch indie,35
dutch indie rock,18
dutch jazz,4
dutch metal,23
dutch pop,31
dutch prog,2
dutch punk,7
dutch punk rock,3
dutch r&b,3
dutch rap pop,4
dutch rock,40
dutch singer-songwriter,4
dutch stoner rock,3
dutch tech house,2
dutch trance,4
dutch underground hip hop,1
early french punk,3
early modern classical,1
early music,7
early music choir,2
early music ensemble,7
early reggae,2
early synthpop,1
early us punk,5
east anglia indie,4
east coast hip hop,72
east coast reggae,7
easy listening,10
easycore,11
eau claire indie,4
ebm,71
ecm-style jazz,62
ectofolk,11
ecuadorian indie,1
ecuadorian pop,1
edinburgh indie,2
edinburgh metal,1
edm,177
edmonton indie,8
egyptian alternative,4
egyptian hip hop,1
egyptian pop,2
el paso indie,4
electra,59
electric bass,16
electric blues,98
electro,30
electro dub,11
electro house,187
electro jazz,8
electro latino,1
electro swing,28
electro trash,20
electro-industrial,64
electro-pop francais,19
electroacoustic composition,2
electroacoustic improvisation,9
electroclash,41
electrofox,33
electronic djent,2
electronic rock,19
electronic trap,40
electronica,200
electronica argentina,2
electronica chilena,5
electronica peruana,2
electronica venezuela,3
electronicore,2
electropop,150
electropowerpop,13
elektropunk,21
elephant 6,2
emo,78
emo mexicano,1
emo punk,11
emo rap,10
emo rap italiano,1
emocore,2
emoviolence,1
english indie rock,41
entehno,9
environmental,1
epic black metal,2
epic doom,6
epicore,3
eritrean pop,1
escape room,82
essex indie,4
estonian electronic,1
estonian folk,2
estonian indie,5
estonian jazz,2
estonian metal,4
estonian pop,6
estonian rock,2
ethereal wave,17
etherpop,27
ethio-jazz,6
ethiopian pop,2
ethiopian traditional,1
ethnotronica,30
eugene indie,2
euphoric hardstyle,27
euro hi-nrg,1
eurodance,33
europop,83
euroska,23
eurovision,24
euskal indie,1
euskal metal,1
euskal rock,4
experimental,69
experimental ambient,14
experimental big band,3
experimental black metal,3
experimental classical,3
experimental club,3
experimental dub,5
experimental dubstep,2
experimental electronic,8
experimental folk,7
experimental guitar,15
experimental hip hop,14
experimental house,2
experimental indie,5
experimental indie rock,12
experimental jazz,10
experimental percussion,4
experimental pop,64
experimental psych,15
experimental r&b,6
experimental rock,36
experimental synth,6
experimental techno,12
experimental vocal,9
fado,12
fake,5
fallen angel,8
faroese indie,1
faroese pop,2
faroese rock,3
fast melodic punk,15
fidget house,23
field recording,2
fijian pop,1
filmi,2
filter house,70
filthstep,25
final fantasy,2
fingerstyle,10
finlandssvenska musik,1
finnish alternative rock,5
finnish black metal,3
finnish blues,2
finnish contemporary classical,2
finnish dance pop,5
finnish death metal,21
finnish doom metal,7
finnish edm,2
finnish electro,3
finnish electronic,2
finnish experimental,5
finnish folk,5
finnish hard rock,13
finnish hardcore,2
finnish heavy metal,10
finnish hip hop,8
finnish idol pop,1
finnish indie,12
finnish jazz,6
finnish melodeath,18
finnish metal,46
finnish modern jazz,4
finnish new wave,1
finnish pop,8
finnish post-punk,1
finnish power metal,12
finnish progressive metal,3
finnish progressive rock,2
finnish psychedelic rock,8
finnish punk,2
finnish rockabilly,1
finnish soul,2
finnish techno,2
firenze indie,3
flamenco,18
flamenco fusion,1
flamenco guitar,11
flemish folk,2
flick hop,1
float house,50
florida death metal,11
florida hardcore,2
florida rap,2
flute rock,7
fluxwork,22
focus,4
focus beats,1
focus trance,1
folclor afrocolombiano,2
folclore portugues,1
folclore salteno,1
folclore tucumano,1
folk,84
folk black metal,17
folk brasileiro,2
folk metal,56
folk punk,28
folk rock,80
folk rock italiano,10
folk siciliana,2
folk-pop,37
folklore argentino,2
folklore boliviano,3
folklore cuyano,1
folklore peruano,1
folklore veracruzano,1
folkmusik,3
folktronica,23
footwork,8
forest psy,7
forro,6
forro tradicional,1
fort wayne indie,2
fort worth indie,2
fotbollslatar,1
fourth world,30
francoton,79
frankfurt electronic,27
frankfurt indie,8
frauenrap,9
freak folk,194
freakbeat,8
free folk,6
free improvisation,32
free jazz,46
freestyle,2
french black metal,21
french classical piano,12
french contemporary classical,1
french death metal,15
french dnb,6
french dub,10
french experimental rock,21
french folk,1
french folk pop,42
french garage rock,16
french hardcore,13
french hip hop,143
french indie folk,20
french indie pop,164
french indietronica,115
french jazz,32
french metal,32
french movie tunes,4
french oi,4
french orchestra,3
french pop,147
french post-punk,15
french post-rock,6
french psychedelic,25
french punk,23
french reggae,68
french rock,139
french rock-and-roll,1
french rockabilly,2
french shoegaze,13
french soundtrack,2
french stoner rock,8
french synthpop,20
french tech house,8
french techno,20
french worship,1
frenchcore,13
full on,10
funana,1
funeral doom,18
funk,93
funk carioca,13
funk das antigas,1
funk evangelico,1
funk metal,43
funk mexicano,1
funk ostentacao,4
funk pop,4
funk rock,24
funky breaks,7
funky house,11
funky tech house,15
future ambient,2
future bass,21
future funk,2
future garage,38
future house,13
future rock,10
futurepop,39
g funk,3
g-house,2
gabba,29
gaian doom,37
gainesville indie,4
galego,2
galician folk,3
galway indie,1
gambian pop,2
gamecore,1
gaming dubstep,22
gaming edm,12
gangster rap,61
garage house,4
garage pop,42
garage psych,90
garage punk,14
garage punk blues,18
garage rock,55
garage rock mexicano,2
garage rock revival,28
gauze pop,13
gbvfi,28
geek folk,1
geek rock,2
gen z singer-songwriter,2
georgian alternative,2
georgian electronic,1
georgian pop,1
german alternative rap,58
german alternative rock,25
german black metal,34
german blues,18
german boom bap,16
german ccm,8
german choir,1
german classical piano,12
german cloud rap,20
german contemporary classical,2
german country,7
german dance,13
german dark minimal techno,5
german death metal,17
german dnb,5
german drill,10
german electronica,14
german grindcore,8
german hard rock,25
german hardcore,19
german heavy metal,8
german hip hop,127
german house,32
german indie,148
german indie folk,22
german indie pop,14
german indie rock,28
german jazz,27
german jazz rap,22
german melodeath,8
german metal,76
german metalcore,30
german oi,26
german orchestra,4
german pagan metal,10
german pop,184
german pop rock,17
german post-hardcore,17
german post-punk,17
german post-rock,9
german power metal,30
german prog,8
german punk,68
german punk rock,41
german r&b,2
german reggae,29
german rock,198
german rockabilly,3
german shoegaze,8
german show tunes,1
german singer-songwriter,31
german ska,20
german soundtrack,3
german stoner rock,16
german street punk,2
german tech house,23
german techno,96
german thrash metal,22
german trance,19
german trap,27
german underground rap,38
german viral rap,1
german worship,8
ghanaian alternative,3
ghanaian hip hop,4
ghanaian pop,1
ghent indie,10
ghettotech,1
girl group,7
glam metal,77
glam punk,13
glam rock,32
glasgow indie,3
glitch,33
glitch beats,3
glitch hop,9
glitch pop,12
gnawa,4
golden age hip hop,13
goregrind,27
gospel,1
gospel rap,1
gospel reggae,1
gospel singers,4
gothabilly,6
gothenburg indie,11
gothenburg metal,24
gothic alternative,3
gothic americana,20
gothic black metal,5
gothic doom,1
gothic metal,67
gothic post-punk,7
gothic rock,29
gothic symphonic metal,47
gqom,4
granada indie,1
grand rapids indie,2
grave wave,51
graz indie,2
grebo,5
greek black metal,3
greek downtempo,2
greek drill,1
greek guitar,1
greek hip hop,1
greek house,4
greek indie,6
greek indie rock,4
greek jazz,1
greek metal,16
greek pop,4
greek psychedelic rock,6
greek rock,6
greek swing,1
greek techno,3
greek trap,2
greek underground rap,1
greenlandic pop,1
grim death metal,3
grime,17
